Age,Age_Group,Gender,Country,City,Membership_Years,Membership_Length,Login_Frequency,Login_Levels,Session_Duration_Avg,Pages_Per_Session,Cart_Abandonment_Rate,Wishlist_Items,Total_Purchases,Average_Order_Value,Days_Since_Last_Purchase,Discount_Usage_Rate,Discount_Usage_Tiers,Returns_Rate,Email_Open_Rate,Customer_Service_Calls,Product_Reviews_Written,Social_Media_Engagement_Score,Mobile_App_Usage,Payment_Method_Diversity,Lifetime_Value,Lifetime_Value_Levels,Credit_Balance,Churned,Signup_Quarter
48,"Established (45-54)",Female,USA,Chicago,3.3,"3-6 years",11,"Moderate Activity",20.7,2.0,86.4,0,3,175.24,30,53.10,"High Discount Usage",16.20,3.8,8,0,19.9,19.3,3,524.03,"Emerging Value",NULL,1,"Q3"
44,"Middle Age (35-44)",Male,India,Hyderabad,2.7,"1-3 years",7,"Low Activity",11.9,7.9,73.7,0,7,136.09,2,51.90,"High Discount Usage",16.20,19.3,6,3,0.0,21.3,2,933.47,"Emerging Value",75,1,"Q2"
59,"Pre-Retirement (55-64)",Female,UK,London,4.1,"3-6 years",24,"Moderate Activity",37.3,12.5,45.7,9,24,105.04,25,51.10,"High Discount Usage",16.20,21.4,1,4,45.0,38.0,4,2926.15,"High Value",2318,0,"Q1"
39,"Middle Age (35-44)",Female,UK,Glasgow,3.9,"3-6 years",14,"Moderate Activity",19.6,11.6,65.3,7,10,218.46,15,50.90,"High Discount Usage",16.20,23.3,8,6,43.5,25.4,3,1846.48,"Core Value",2511,0,"Q1"
22,"Young Adults (18-24)",Male,France,Lyon,10.0,"6+ years",21,"Moderate Activity",27.4,11.2,43.2,NULL,20,83.14,20,50.76,"High Discount Usage",16.20,42.1,2,4,54.0,30.3,2,1254.09,"Core Value",1580,1,"Q4"
26,"Early Career (25-34)",Male,France,Toulouse,4.9,"3-6 years",16,"Moderate Activity",38.4,10.6,50.9,7,15,139.85,1,50.70,"High Discount Usage",16.20,28.1,7,4,52.7,NULL,3,2502.88,"High Value",2016,1,"Q1"
32,"Early Career (25-34)",Male,UK,Manchester,3.1,"3-6 years",16,"Moderate Activity",39.0,12.9,39.7,10,18,107.30,27,47.60,"Moderate Discount Usage",16.20,37.3,4,6,58.7,27.3,NULL,2287.14,"Core Value",1764,0,"Q3"
37,"Middle Age (35-44)",Male,Germany,Hamburg,6.0,"3-6 years",3,"Very Low Activity",35.5,11.3,53.0,5,12,104.36,3,47.60,"Moderate Discount Usage",16.20,39.8,8,3,17.1,18.7,2,1016.14,"Core Value",1939,0,"Q1"
40,"Middle Age (35-44)",Male,Australia,Perth,5.9,"3-6 years",11,"Moderate Activity",33.5,8.3,57.2,4,20,133.76,21,45.40,"Moderate Discount Usage",16.20,40.5,6,2,23.7,24.8,3,2940.87,"High Value",1676,1,"Q3"
35,"Middle Age (35-44)",Female,Canada,Calgary,4.8,"3-6 years",12,"Moderate Activity",28.3,7.8,77.9,3,12,123.47,19,44.90,"Moderate Discount Usage",16.20,26.1,4,3,15.7,20.0,1,1593.34,"Core Value",1273,0,"Q2"
20,"Young Adults (18-24)",Female,UK,Birmingham,3.8,"3-6 years",14,"Moderate Activity",20.1,4.7,71.2,5,8,84.12,65,40.20,"Moderate Discount Usage",16.20,21.7,7,2,46.4,13.2,3,624.34,"Emerging Value",2575,0,"Q2"
23,"Young Adults (18-24)",Male,Canada,Toronto,1.3,"1-3 years",9,"Low Activity",23.1,5.4,78.7,6,9,105.89,43,40.10,"Moderate Discount Usage",16.20,NULL,9,3,6.3,23.2,NULL,926.08,"Emerging Value",320,0,"Q2"
44,"Middle Age (35-44)",Female,Germany,Hamburg,6.7,"6+ years",26,"Top User",31.4,12.5,37.7,6,24,120.71,22,40.00,"Moderate Discount Usage",16.20,41.6,3,5,49.7,25.5,4,2677.21,"High Value",NULL,0,"Q1"
NULL,Unknown,Female,Germany,Berlin,2.2,"1-3 years",5,"Low Activity",25.3,8.9,72.9,3,19,65.19,25,38.88,"Moderate Discount Usage",16.20,34.6,8,1,22.4,14.2,2,836.19,"Emerging Value",1683,0,"Q4"
48,"Established (45-54)",Female,Canada,Montreal,1.3,"1-3 years",7,"Low Activity",30.4,9.4,56.3,4,15,128.10,49,38.70,"Moderate Discount Usage",16.20,9.0,4,3,1.7,17.4,2,2211.63,"Core Value",NULL,0,"Q1"
50,"Established (45-54)",Male,Germany,Frankfurt,3.4,"3-6 years",15,"Moderate Activity",21.6,6.9,59.1,4,11,136.84,6,36.36,"Moderate Discount Usage",16.20,4.1,10,3,NULL,24.5,3,989.67,"Emerging Value",3322,0,"Q4"
63,"Pre-Retirement (55-64)",Female,USA,Phoenix,2.0,"1-3 years",4,"Low Activity",NULL,4.2,73.9,6,7,107.11,31,36.30,"Moderate Discount Usage",16.20,11.0,8,1,12.9,27.5,3,832.07,"Emerging Value",1744,0,"Q1"
30,"Early Career (25-34)",Male,Australia,Perth,0.7,"< 1 year",14,"Moderate Activity",20.6,3.4,74.2,3,9,105.07,14,36.20,"Moderate Discount Usage",16.20,0.0,5,4,NULL,12.5,3,1083.87,"Core Value",1646,1,"Q3"
33,"Early Career (25-34)",Female,USA,Houston,2.0,"1-3 years",21,"Moderate Activity",36.0,12.3,53.4,4,15,202.37,44,36.10,"Moderate Discount Usage",16.20,30.1,7,2,43.7,NULL,4,2710.78,"High Value",2031,1,"Q3"
18,"Young Adults (18-24)",Male,UK,Leeds,0.5,"< 1 year",18,"Moderate Activity",52.5,11.8,31.4,12,18,106.94,23,36.10,"Moderate Discount Usage",16.20,34.7,2,6,56.9,31.2,1,1809.39,"Core Value",2442,1,"Q3"
30,"Early Career (25-34)",Male,India,Mumbai,3.9,"3-6 years",11,"Moderate Activity",29.3,12.2,63.6,6,14,64.39,14,35.10,"Moderate Discount Usage",16.20,23.0,5,2,39.2,NULL,3,784.65,"Emerging Value",1333,0,"Q1"
22,"Young Adults (18-24)",Female,UK,Leeds,4.1,"3-6 years",4,"Low Activity",NULL,5.2,60.3,NULL,12,101.59,32,34.90,"Moderate Discount Usage",16.20,10.2,6,4,36.8,5.0,1,1174.00,"Core Value",1665,0,"Q3"
43,"Middle Age (35-44)",Female,USA,Phoenix,2.8,"1-3 years",NULL,Inactive,18.6,8.3,74.6,3,6,104.10,1,34.10,"Moderate Discount Usage",16.20,3.7,1,2,0.1,22.8,1,713.70,"Emerging Value",NULL,0,"Q1"
56,"Pre-Retirement (55-64)",Female,USA,"Los Angeles",1.9,"1-3 years",7,"Low Activity",30.5,NULL,68.6,NULL,14,101.89,22,33.60,"Moderate Discount Usage",16.20,NULL,6,2,11.9,19.2,2,1198.51,"Core Value",1537,0,"Q3"
52,"Established (45-54)",Male,USA,"Los Angeles",2.6,"1-3 years",22,"Moderate Activity",26.6,7.9,57.4,6,18,131.36,0,33.00,"Moderate Discount Usage",16.20,14.3,4,5,52.9,14.4,2,2569.64,"High Value",2846,0,"Q3"
26,"Early Career (25-34)",Male,Germany,Cologne,4.7,"3-6 years",11,"Moderate Activity",25.7,10.2,61.6,5,10,49.75,4,30.20,"Moderate Discount Usage",16.20,0.0,4,4,NULL,25.0,2,469.71,"Emerging Value",1829,0,"Q1"
52,"Established (45-54)",Male,Canada,Montreal,4.1,"3-6 years",17,"Moderate Activity",44.6,11.3,44.8,7,23,122.11,8,29.50,"Moderate Discount Usage",16.20,29.0,6,3,55.9,30.1,1,2479.70,"Core Value",1551,1,"Q1"
23,"Young Adults (18-24)",Female,USA,Chicago,4.5,"3-6 years",15,"Moderate Activity",34.4,16.0,35.3,8,18,74.48,28,29.28,"Moderate Discount Usage",16.20,22.6,3,6,53.7,29.8,3,1244.57,"Core Value",3422,1,"Q4"
40,"Middle Age (35-44)",Male,Australia,Brisbane,1.1,"1-3 years",11,"Moderate Activity",30.5,9.2,65.1,NULL,13,89.13,8,29.10,"Moderate Discount Usage",16.20,5.4,5,1,9.7,NULL,2,1252.77,"Core Value",663,0,"Q2"
60,"Pre-Retirement (55-64)",Male,Canada,Calgary,6.0,"3-6 years",13,"Moderate Activity",14.2,7.0,58.4,7,7,80.50,51,28.40,"Moderate Discount Usage",16.20,16.5,4,2,14.4,17.1,1,586.80,"Emerging Value",NULL,0,"Q3"
NULL,Unknown,Male,UK,London,2.9,"1-3 years",18,"Moderate Activity",31.7,9.3,54.9,4,11,75.57,82,28.40,"Moderate Discount Usage",16.20,34.0,5,2,39.1,22.8,2,707.48,"Emerging Value",2132,0,"Q2"
40,"Middle Age (35-44)",Female,Japan,Osaka,0.2,"< 1 year",23,"Moderate Activity",39.3,12.8,43.0,9,21,120.25,29,27.60,"Moderate Discount Usage",16.20,40.2,4,2,NULL,30.1,3,2449.48,"Core Value",2429,0,"Q1"
18,"Young Adults (18-24)",Female,USA,Houston,1.3,"1-3 years",10,"Low Activity",NULL,5.1,77.3,2,11,140.72,NULL,26.50,"Moderate Discount Usage",16.20,11.2,12,2,0.0,NULL,3,1628.43,"Core Value",594,1,"Q3"
43,"Middle Age (35-44)",Female,France,Lyon,5.5,"3-6 years",7,"Low Activity",NULL,3.9,67.8,2,6,96.41,3,23.10,"Moderate Discount Usage",16.20,20.1,4,NULL,27.8,10.3,2,659.01,"Emerging Value",2873,0,"Q2"
54,"Established (45-54)",Female,Australia,Sydney,4.8,"3-6 years",21,"Moderate Activity",32.1,12.4,49.5,10,22,188.86,19,22.68,"Moderate Discount Usage",16.20,14.9,7,4,13.3,22.9,1,2601.74,"High Value",3571,1,"Q4"
38,"Middle Age (35-44)",Male,Canada,Toronto,2.1,"1-3 years",8,"Low Activity",32.6,9.1,53.0,5,20,81.43,31,20.00,"Low Discount Usage",16.20,48.0,5,4,19.2,16.6,3,1772.61,"Core Value",NULL,0,"Q1"
40,"Middle Age (35-44)",Female,UK,Leeds,0.5,"< 1 year",14,"Moderate Activity",17.6,6.0,54.1,2,6,135.12,25,18.50,"Low Discount Usage",16.20,27.4,9,1,10.8,12.7,1,707.08,"Emerging Value",1837,0,"Q2"
20,"Young Adults (18-24)",Female,UK,Birmingham,1.0,"1-3 years",4,"Low Activity",16.4,4.7,67.0,2,8,54.74,NULL,18.30,"Low Discount Usage",16.20,NULL,NULL,0,8.4,25.7,2,515.91,"Emerging Value",1563,1,"Q1"
NULL,Unknown,Female,Australia,Melbourne,2.5,"1-3 years",12,"Moderate Activity",30.7,10.8,63.4,4,15,133.48,30,16.50,"Low Discount Usage",16.20,30.0,5,5,54.3,NULL,3,2267.99,"Core Value",4630,0,"Q3"
35,"Middle Age (35-44)",Female,USA,"Los Angeles",1.0,"1-3 years",NULL,Inactive,NULL,2.5,74.2,0,5,72.70,38,16.32,"Low Discount Usage",16.20,0.0,7,0,0.0,12.0,1,255.15,"Emerging Value",0,1,"Q4"
58,"Pre-Retirement (55-64)",Female,USA,Chicago,0.4,"< 1 year",NULL,Inactive,13.8,8.8,61.0,1,12,52.06,8,13.20,"Low Discount Usage",16.20,NULL,6,NULL,36.2,NULL,1,638.83,"Emerging Value",1872,0,"Q2"
54,"Established (45-54)",Female,Germany,Frankfurt,0.3,"< 1 year",11,"Moderate Activity",31.1,11.1,36.3,1,16,124.84,34,13.08,"Low Discount Usage",16.20,25.9,4,5,37.9,16.1,1,1354.38,"Core Value",1479,0,"Q4"
38,"Middle Age (35-44)",Female,USA,"New York",1.4,"1-3 years",7,"Low Activity",NULL,4.1,80.1,1,8,56.89,6,12.40,"Low Discount Usage",16.20,NULL,6,0,26.2,8.5,1,467.75,"Emerging Value",447,1,"Q2"
18,"Young Adults (18-24)",Male,India,Mumbai,8.4,"6+ years",12,"Moderate Activity",25.5,11.1,62.0,6,13,87.62,1,12.00,"Low Discount Usage",16.20,34.5,4,5,0.0,23.0,1,898.28,"Emerging Value",2226,1,"Q4"
53,"Established (45-54)",Male,Japan,Kyoto,9.5,"6+ years",27,"Top User",48.2,14.9,26.4,6,19,124.44,4,11.00,"Low Discount Usage",16.20,48.0,1,5,51.6,38.9,4,2011.21,"Core Value",3258,0,"Q2"
41,"Middle Age (35-44)",Male,USA,"New York",3.6,"3-6 years",7,"Low Activity",32.0,9.7,68.9,2,11,184.57,NULL,10.08,"Low Discount Usage",16.20,21.4,4,2,49.2,19.2,4,1893.86,"Core Value",1398,0,"Q4"
44,"Middle Age (35-44)",Female,Japan,Nagoya,3.4,"3-6 years",20,"Moderate Activity",31.1,7.8,58.4,5,11,82.21,4,9.80,"Low Discount Usage",16.20,36.9,6,6,62.5,21.0,1,1046.33,"Core Value",NULL,0,"Q2"
24,"Young Adults (18-24)",Female,Germany,Cologne,2.1,"1-3 years",10,"Low Activity",9.9,5.9,79.6,0,8,57.79,68,9.60,"Low Discount Usage",16.20,31.5,10,2,25.7,11.0,1,408.05,"Emerging Value",777,1,"Q3"
30,"Early Career (25-34)",Female,France,Nice,1.0,"1-3 years",1,"Very Low Activity",18.3,6.3,44.6,3,11,119.03,17,8.90,"Low Discount Usage",16.20,25.5,6,1,8.3,NULL,1,1539.58,"Core Value",2834,0,"Q2"
68,"Seniors (65+)",Male,UK,Glasgow,0.9,"< 1 year",13,"Moderate Activity",26.1,2.3,71.2,2,9,178.04,7,3.70,"Low Discount Usage",16.20,4.7,2,1,13.1,7.6,2,1886.94,"Core Value",1762,0,"Q3"
65,"Seniors (65+)",Male,USA,"New York",3.7,"3-6 years",8,"Low Activity",22.6,9.2,51.4,2,10,83.43,18,NULL,Unknown,16.20,32.6,3,3,20.9,17.9,5,963.61,"Emerging Value",3438,0,"Q1"
35,"Middle Age (35-44)",Female,USA,Houston,1.1,"1-3 years",9,"Low Activity",NULL,7.1,76.5,4,5,76.21,49,NULL,Unknown,16.20,0.0,6,1,19.0,13.8,NULL,377.20,"Emerging Value",1531,1,"Q1"
45,"Established (45-54)",Male,USA,"Los Angeles",5.3,"3-6 years",6,"Low Activity",26.8,5.9,63.8,4,6,65.61,22,NULL,Unknown,16.20,19.3,9,3,14.2,NULL,1,338.59,"Emerging Value",1688,0,"Q2"
26,"Early Career (25-34)",Female,UK,Leeds,3.7,"3-6 years",3,"Very Low Activity",32.4,10.6,52.5,2,14,61.44,10,NULL,Unknown,16.20,NULL,4,0,0.0,NULL,2,796.64,"Emerging Value",NULL,0,"Q4"
37,"Middle Age (35-44)",Female,USA,Phoenix,3.8,"3-6 years",35,"Top User",43.7,NULL,14.0,6,35,94.06,6,98.16,"Deal Dependent",16.10,64.1,5,8,81.0,46.1,1,2621.79,"High Value",5000,0,"Q4"
24,"Young Adults (18-24)",Female,USA,Chicago,4.0,"3-6 years",15,"Moderate Activity",24.6,10.5,46.1,5,20,104.81,54,93.84,"Deal Dependent",16.10,7.8,2,5,72.0,29.0,2,1899.38,"Core Value",1344,0,"Q4"
NULL,Unknown,Male,USA,Phoenix,2.5,"1-3 years",11,"Moderate Activity",11.9,6.4,68.1,2,13,112.74,26,85.68,"Deal Dependent",16.10,0.9,3,1,17.1,NULL,1,1070.01,"Core Value",1851,1,"Q4"
27,"Early Career (25-34)",Male,India,Hyderabad,0.5,"< 1 year",19,"Moderate Activity",44.5,NULL,35.1,6,20,85.28,44,79.30,"High Discount Usage",16.10,36.5,2,2,49.8,26.5,2,1375.51,"Core Value",2761,0,"Q1"
42,"Middle Age (35-44)",Male,India,Chennai,4.3,"3-6 years",4,"Low Activity",19.0,NULL,55.2,3,9,152.74,30,78.12,"High Discount Usage",16.10,11.8,6,1,28.8,14.2,3,1124.99,"Core Value",2012,0,"Q4"
47,"Established (45-54)",Female,USA,Houston,1.8,"1-3 years",23,"Moderate Activity",35.6,10.4,45.1,9,25,63.60,8,73.90,"High Discount Usage",16.10,31.0,8,8,61.1,31.5,5,1626.61,"Core Value",4292,0,"Q2"
59,"Pre-Retirement (55-64)",Female,France,Paris,3.5,"3-6 years",7,"Low Activity",15.2,8.5,62.9,NULL,10,143.89,51,69.12,"High Discount Usage",16.10,27.9,9,NULL,46.2,14.1,NULL,1204.88,"Core Value",847,0,"Q4"
32,"Early Career (25-34)",Female,USA,"Los Angeles",1.0,"1-3 years",5,"Low Activity",18.2,7.5,87.4,0,4,110.41,11,63.90,"High Discount Usage",16.10,12.0,7,1,0.0,8.7,1,400.03,"Emerging Value",46,1,"Q3"
43,"Middle Age (35-44)",Female,Germany,Cologne,3.1,"3-6 years",6,"Low Activity",9.2,NULL,74.4,0,1,211.62,40,62.90,"High Discount Usage",16.10,9.4,6,0,0.0,7.6,2,192.22,"Low Value",796,1,"Q1"
62,"Pre-Retirement (55-64)",Female,Canada,Toronto,2.0,"1-3 years",25,"Moderate Activity",50.6,14.5,30.6,3,22,86.00,5,61.20,"High Discount Usage",16.10,38.4,1,9,75.1,27.5,4,2121.99,"Core Value",3583,0,"Q2"
23,"Young Adults (18-24)",Male,USA,"New York",7.3,"6+ years",20,"Moderate Activity",36.1,8.2,58.4,5,16,122.00,37,60.48,"High Discount Usage",16.10,17.9,4,NULL,24.5,32.6,2,1518.81,"Core Value",2245,0,"Q4"
31,"Early Career (25-34)",Male,Germany,Munich,3.2,"3-6 years",7,"Low Activity",15.7,4.6,72.0,3,11,52.67,17,60.20,"High Discount Usage",16.10,3.2,6,2,18.9,11.6,3,559.84,"Emerging Value",0,1,"Q3"
24,"Young Adults (18-24)",Male,USA,Phoenix,2.5,"1-3 years",18,"Moderate Activity",25.2,8.4,67.3,1,10,138.57,176,58.60,"High Discount Usage",16.10,9.8,7,2,38.7,NULL,2,1633.32,"Core Value",2177,0,"Q3"
43,"Middle Age (35-44)",Male,USA,Houston,2.3,"1-3 years",13,"Moderate Activity",35.5,16.4,36.4,8,15,88.37,40,58.40,"High Discount Usage",16.10,25.1,3,9,NULL,25.7,2,1175.38,"Core Value",2484,0,"Q3"
36,"Middle Age (35-44)",Female,France,Toulouse,5.0,"3-6 years",15,"Moderate Activity",39.9,11.5,35.6,5,23,117.71,13,57.60,"High Discount Usage",16.10,18.8,2,5,62.5,26.4,1,2664.75,"High Value",2513,0,"Q3"
24,"Young Adults (18-24)",Male,USA,"New York",2.5,"1-3 years",NULL,Inactive,24.8,6.3,52.4,3,4,82.93,35,56.90,"High Discount Usage",16.10,13.8,7,4,0.0,11.4,1,347.70,"Emerging Value",1145,0,"Q3"
75,"Seniors (65+)",Female,Japan,Tokyo,2.5,"1-3 years",11,"Moderate Activity",21.1,9.9,72.3,2,10,82.29,31,56.80,"High Discount Usage",16.10,25.7,11,2,24.8,10.7,3,949.50,"Emerging Value",2298,0,"Q1"
47,"Established (45-54)",Female,Japan,Tokyo,0.6,"< 1 year",24,"Moderate Activity",46.4,13.0,32.6,9,23,62.71,5,55.56,"High Discount Usage",16.10,39.9,5,NULL,47.4,40.9,1,1091.38,"Core Value",5074,0,"Q4"
54,"Established (45-54)",Female,USA,"Los Angeles",0.9,"< 1 year",24,"Moderate Activity",32.3,11.1,50.7,NULL,19,90.36,35,55.20,"High Discount Usage",16.10,8.6,4,3,50.3,30.3,3,1868.91,"Core Value",NULL,0,"Q1"
39,"Middle Age (35-44)",Male,USA,Houston,4.0,"3-6 years",18,"Moderate Activity",50.1,13.6,32.8,10,21,107.66,12,55.00,"High Discount Usage",16.10,26.6,4,8,66.9,37.3,5,2071.53,"Core Value",2775,0,"Q1"
57,"Pre-Retirement (55-64)",Male,Canada,Toronto,0.9,"< 1 year",10,"Low Activity",21.7,9.6,94.4,1,8,58.30,30,53.70,"High Discount Usage",16.10,14.6,7,1,41.1,16.8,3,527.87,"Emerging Value",2129,1,"Q2"
37,"Middle Age (35-44)",Female,USA,Chicago,1.9,"1-3 years",NULL,Inactive,14.9,4.2,80.6,0,7,101.27,1,48.10,"Moderate Discount Usage",16.10,15.7,6,0,0.0,2.4,2,790.16,"Emerging Value",2344,1,"Q1"
21,"Young Adults (18-24)",Female,Germany,Berlin,5.3,"3-6 years",17,"Moderate Activity",36.8,11.9,47.2,8,14,91.62,59,47.40,"Moderate Discount Usage",16.10,35.0,2,7,49.7,26.9,2,1300.49,"Core Value",4282,0,"Q2"
40,"Middle Age (35-44)",Female,Canada,Montreal,2.2,"1-3 years",4,"Low Activity",13.8,7.5,60.4,3,6,163.80,69,46.90,"Moderate Discount Usage",16.10,4.7,1,1,34.3,9.7,4,908.73,"Emerging Value",501,1,"Q3"
48,"Established (45-54)",Female,UK,Manchester,2.3,"1-3 years",5,"Low Activity",25.1,8.8,60.2,NULL,13,147.14,52,46.80,"Moderate Discount Usage",16.10,7.3,8,2,53.4,19.8,1,1359.18,"Core Value",1993,0,"Q4"
50,"Established (45-54)",Male,Germany,Hamburg,5.1,"3-6 years",2,"Very Low Activity",18.1,8.7,66.7,2,7,151.86,17,46.20,"Moderate Discount Usage",16.10,11.3,6,1,NULL,8.8,4,825.10,"Emerging Value",1591,1,"Q4"
38,"Middle Age (35-44)",Female,USA,"New York",1.5,"1-3 years",20,"Moderate Activity",40.0,12.2,58.5,6,17,83.22,3,45.40,"Moderate Discount Usage",16.10,27.9,6,5,74.2,31.4,1,1436.61,"Core Value",3683,0,"Q1"
5,"Children (<18)",Male,India,Mumbai,6.0,"3-6 years",6,"Low Activity",20.9,NULL,67.5,3,9,152.26,4,38.50,"Moderate Discount Usage",16.10,NULL,5,2,44.3,13.8,4,1149.59,"Core Value",576,0,"Q2"
36,"Middle Age (35-44)",Male,UK,Birmingham,2.2,"1-3 years",15,"Moderate Activity",32.0,12.0,32.0,7,20,101.88,123,37.56,"Moderate Discount Usage",16.10,34.5,4,4,35.4,26.2,2,1803.94,"Core Value",2290,0,"Q4"
30,"Early Career (25-34)",Female,USA,Phoenix,0.6,"< 1 year",19,"Moderate Activity",25.3,8.9,60.0,6,19,138.71,30,36.50,"Moderate Discount Usage",16.10,18.5,5,5,26.9,33.5,NULL,2533.69,"High Value",2814,0,"Q2"
45,"Established (45-54)",Male,France,Toulouse,6.8,"6+ years",4,"Low Activity",NULL,3.8,92.9,0,5,94.94,2,36.48,"Moderate Discount Usage",16.10,0.0,10,0,0.0,4.2,2,420.52,"Emerging Value",798,0,"Q4"
51,"Established (45-54)",Male,USA,Houston,0.7,"< 1 year",9,"Low Activity",31.5,10.7,26.1,4,13,126.27,22,36.36,"Moderate Discount Usage",16.10,NULL,9,1,NULL,14.0,2,1015.80,"Core Value",2254,0,"Q4"
NULL,Unknown,Male,UK,London,6.1,"6+ years",13,"Moderate Activity",28.4,9.9,59.2,2,9,99.62,NULL,35.30,"Moderate Discount Usage",16.10,27.8,7,4,14.6,27.5,5,966.72,"Emerging Value",827,0,"Q1"
36,"Middle Age (35-44)",Female,UK,Glasgow,2.0,"1-3 years",15,"Moderate Activity",18.3,6.6,62.4,0,8,94.01,35,34.00,"Moderate Discount Usage",16.10,3.1,11,0,NULL,NULL,4,821.34,"Emerging Value",NULL,1,"Q2"
47,"Established (45-54)",Female,India,Hyderabad,2.9,"1-3 years",21,"Moderate Activity",38.4,15.4,52.2,3,17,76.61,40,33.80,"Moderate Discount Usage",16.10,26.0,5,NULL,50.8,24.2,4,1058.10,"Core Value",4063,0,"Q2"
29,"Early Career (25-34)",Other,France,Marseille,2.8,"1-3 years",17,"Moderate Activity",24.5,8.1,57.9,NULL,15,158.79,46,31.70,"Moderate Discount Usage",16.10,38.9,3,NULL,62.5,27.2,2,2043.47,"Core Value",1290,0,"Q3"
40,"Middle Age (35-44)",Male,Germany,Hamburg,0.9,"< 1 year",6,"Low Activity",12.7,4.2,59.6,1,7,82.14,15,31.40,"Moderate Discount Usage",16.10,1.0,3,0,31.2,11.1,2,589.08,"Emerging Value",799,1,"Q2"
21,"Young Adults (18-24)",Male,Canada,Ottawa,0.6,"< 1 year",25,"Moderate Activity",40.1,NULL,29.5,NULL,16,188.59,27,30.60,"Moderate Discount Usage",16.10,35.5,4,10,60.8,26.6,3,2898.49,"High Value",3625,0,"Q3"
36,"Middle Age (35-44)",Male,Germany,Hamburg,5.4,"3-6 years",6,"Low Activity",17.3,3.4,68.5,NULL,6,95.07,7,29.90,"Moderate Discount Usage",16.10,12.0,8,1,NULL,7.7,2,609.36,"Emerging Value",1171,1,"Q1"
33,"Early Career (25-34)",Female,France,Paris,3.2,"3-6 years",8,"Low Activity",9.9,1.9,78.1,NULL,3,77.70,23,29.90,"Moderate Discount Usage",16.10,13.8,9,0,NULL,0.0,3,224.99,"Low Value",27,1,"Q2"
27,"Early Career (25-34)",Male,Germany,Frankfurt,0.9,"< 1 year",24,"Moderate Activity",25.0,6.6,55.2,3,12,263.28,44,29.60,"Moderate Discount Usage",16.10,22.1,4,2,7.4,10.1,1,3707.20,"High Value",1160,0,"Q1"
53,"Established (45-54)",Male,USA,Houston,5.5,"3-6 years",7,"Low Activity",13.9,4.9,75.1,0,2,65.53,3,29.40,"Moderate Discount Usage",16.10,0.0,8,0,30.4,5.8,2,133.83,"Low Value",0,1,"Q1"
60,"Pre-Retirement (55-64)",Male,USA,Chicago,1.7,"1-3 years",12,"Moderate Activity",25.7,NULL,57.1,4,13,105.08,NULL,28.20,"Moderate Discount Usage",16.10,13.9,4,2,18.9,NULL,3,1085.11,"Core Value",2069,0,"Q4"
35,"Middle Age (35-44)",Female,USA,"Los Angeles",3.1,"3-6 years",12,"Moderate Activity",28.6,8.7,43.8,5,13,155.47,6,27.90,"Moderate Discount Usage",16.10,29.9,5,4,44.1,21.7,3,1902.33,"Core Value",2872,0,"Q3"
46,"Established (45-54)",Male,UK,London,10.0,"6+ years",15,"Moderate Activity",29.2,5.6,60.6,3,20,208.55,7,26.90,"Moderate Discount Usage",16.10,6.6,7,2,20.3,12.3,5,4852.42,"High Value",3173,1,"Q3"
44,"Middle Age (35-44)",Female,USA,Chicago,2.1,"1-3 years",NULL,Inactive,25.5,5.1,76.1,0,14,99.41,1,26.52,"Moderate Discount Usage",16.10,19.9,7,0,NULL,10.1,4,1212.10,"Core Value",1039,1,"Q4"
39,"Middle Age (35-44)",Female,USA,"Los Angeles",1.4,"1-3 years",NULL,Inactive,NULL,6.1,75.5,0,5,146.60,10,26.40,"Moderate Discount Usage",16.10,0.8,7,0,14.6,12.6,2,592.49,"Emerging Value",2280,1,"Q2"
NULL,Unknown,Female,Japan,Tokyo,1.7,"1-3 years",16,"Moderate Activity",NULL,7.5,70.4,3,14,109.68,4,25.32,"Moderate Discount Usage",16.10,18.9,5,1,24.8,19.9,4,1415.37,"Core Value",1860,0,"Q4"
42,"Middle Age (35-44)",Male,UK,Birmingham,1.0,"1-3 years",10,"Low Activity",32.1,9.1,32.8,6,10,111.40,3,23.20,"Moderate Discount Usage",16.10,28.9,8,5,8.4,22.9,3,907.92,"Emerging Value",NULL,0,"Q3"
23,"Young Adults (18-24)",Male,USA,Phoenix,1.0,"1-3 years",14,"Moderate Activity",31.0,8.4,44.9,4,9,175.28,47,18.60,"Low Discount Usage",16.10,14.8,4,4,40.5,21.9,1,1833.66,"Core Value",2637,1,"Q1"
25,"Early Career (25-34)",Female,USA,Chicago,1.8,"1-3 years",6,"Low Activity",21.7,7.5,84.7,7,13,94.14,29,18.60,"Low Discount Usage",16.10,5.6,2,5,33.8,18.3,2,1229.11,"Core Value",2300,0,"Q1"
33,"Early Career (25-34)",Female,USA,Chicago,2.7,"1-3 years",1,"Very Low Activity",9.5,1.2,85.4,2,4,113.50,53,17.20,"Low Discount Usage",16.10,0.0,12,1,0.0,10.1,3,491.25,"Emerging Value",1451,1,"Q2"
34,"Early Career (25-34)",Male,UK,Glasgow,4.3,"3-6 years",13,"Moderate Activity",10.5,6.2,75.6,1,5,204.87,55,16.50,"Low Discount Usage",16.10,0.0,4,1,3.6,7.7,1,1123.51,"Core Value",0,1,"Q2"
33,"Early Career (25-34)",Female,USA,"New York",3.4,"3-6 years",4,"Low Activity",15.8,7.1,75.5,2,10,108.37,4,13.40,"Low Discount Usage",16.10,0.8,7,0,9.3,13.5,3,915.09,"Emerging Value",1828,1,"Q3"
